id,date,gender,age,steps,calories,distance
621e2efa67b776a2409dd1c3,2021-06-26,FEMALE,<30,13849.0,2379.61,9063.6
621e2efa67b776a2409dd1c3,2021-06-27,FEMALE,<30,5513.0,1697.56,3864.6
621e2efa67b776a2409dd1c3,2021-06-28,FEMALE,<30,5513.0,1382.4,3864.6
621e2efa67b776a2409dd1c3,2021-06-29,FEMALE,<30,5513.0,1382.4,3864.6
621e2efa67b776a2409dd1c3,2021-06-30,FEMALE,<30,3341.0,2156.02,2111.0
621e2efa67b776a2409dd1c3,2021-07-01,FEMALE,<30,2638.0,2093.26,1818.4
621e2efa67b776a2409dd1c3,2021-07-02,FEMALE,<30,2638.0,1382.4,1818.4
621e2efa67b776a2409dd1c3,2021-07-03,FEMALE,<30,0.0,1382.5,0.0
621e2efa67b776a2409dd1c3,2021-07-04,FEMALE,<30,0.0,1382.4,0.0
621e2efa67b776a2409dd1c3,2021-07-05,FEMALE,<30,0.0,1382.4,0.0
621e2efa67b776a2409dd1c3,2021-07-06,FEMALE,<30,0.0,1382.4,0.0
621e2efa67b776a2409dd1c3,2021-07-07,FEMALE,<30,0.0,1382.4,0.0
621e2efa67b776a2409dd1c3,2021-07-08,FEMALE,<30,4717.0,1641.98,3711.0
621e2efa67b776a2409dd1c3,2021-07-09,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-10,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-11,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-12,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-13,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-14,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-15,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-16,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-17,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-18,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-19,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-20,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-21,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-22,FEMALE,<30,4717.0,1382.4,3711.0
