mechanism,eps,n_users,accuracy
laplace,2.0,45,0.03714236111111111
laplace,2.0,46,0.035747282608695655
laplace,2.0,47,0.03530585106382979
laplace,2.0,48,0.034612630208333335
laplace,2.0,49,0.034346301020408164
laplace,2.0,50,0.032915625
laplace,2.0,51,0.0327359068627451
laplace,2.0,52,0.03197415865384615
laplace,2.0,53,0.03227004716981132
laplace,2.0,54,0.03052372685185185
laplace,2.0,55,0.03084375
laplace,2.0,56,0.029849330357142857
laplace,2.0,57,0.02940515350877193
laplace,2.0,58,0.029189116379310345
laplace,2.0,59,0.028588453389830508
laplace,2.0,60,0.028388020833333333
laplace,2.0,61,0.027679303278688526
laplace,2.0,62,0.027268145161290322
laplace,2.0,63,0.02679563492063492
laplace,2.0,64,0.0262841796875
laplace,2.0,65,0.025478365384615384
laplace,2.0,66,0.025097064393939394
laplace,2.0,67,0.024958022388059702
laplace,2.0,68,0.024802389705882354
laplace,2.0,69,0.02428215579710145
laplace,2.0,70,0.0239375
laplace,2.0,71,0.023732394366197184
laplace,4.0,1,1.0
laplace,4.0,2,0.65921875
laplace,4.0,3,0.5124479166666667
laplace,4.0,4,0.415390625
laplace,4.0,5,0.365625
laplace,4.0,6,0.3160677083333333
laplace,4.0,7,0.281875
laplace,4.0,8,0.2513671875
laplace,4.0,9,0.23012152777777778
laplace,4.0,10,0.2149375
laplace,4.0,11,0.19340909090909092
laplace,4.0,12,0.18046875
laplace,4.0,13,0.16973557692307692
laplace,4.0,14,0.15652901785714285
laplace,4.0,15,0.14977083333333333
laplace,4.0,16,0.139990234375
laplace,4.0,17,0.13552389705882353
laplace,4.0,18,0.12897569444444446
laplace,4.0,19,0.1203125
laplace,4.0,20,0.1161171875
laplace,4.0,21,0.11162202380952381
laplace,4.0,22,0.10890625
laplace,4.0,23,0.1026766304347826
laplace,4.0,24,0.10044921875
laplace,4.0,25,0.0961625
laplace,4.0,26,0.09208533653846154
laplace,4.0,27,0.09031828703703704
laplace,4.0,28,0.086953125
laplace,4.0,29,0.08351293103448276
laplace,4.0,30,0.08114583333333333
laplace,4.0,31,0.0781804435483871
laplace,4.0,32,0.076708984375
laplace,4.0,33,0.07410037878787878
laplace,4.0,34,0.07260110294117647
laplace,4.0,35,0.07041517857142857
laplace,4.0,36,0.06817274305555555
laplace,4.0,37,0.06709881756756757
laplace,4.0,38,0.06494243421052631
laplace,4.0,39,0.06397035256410256
laplace,4.0,40,0.062546875
laplace,4.0,41,0.059916158536585364
laplace,4.0,42,0.05940848214285714
laplace,4.0,43,0.05793241279069768
laplace,4.0,44,0.057002840909090906
laplace,4.0,45,0.055850694444444446
laplace,4.0,46,0.054813179347826084
laplace,4.0,47,0.052772606382978725
laplace,4.0,48,0.05225260416666667
laplace,4.0,49,0.050701530612244895
laplace,4.0,50,0.050034375
laplace,4.0,51,0.049050245098039215
laplace,4.0,52,0.04762019230769231
laplace,4.0,53,0.047317216981132074
laplace,4.0,54,0.04673032407407408
laplace,4.0,55,0.0460625
laplace,4.0,56,0.045460379464285716
laplace,4.0,57,0.044366776315789475
laplace,4.0,58,0.04355334051724138
laplace,4.0,59,0.04305349576271186
laplace,4.0,60,0.04248958333333333
laplace,4.0,61,0.04204405737704918
laplace,4.0,62,0.041413810483870966
laplace,4.0,63,0.04030505952380952
laplace,4.0,64,0.0398828125
laplace,4.0,65,0.03912019230769231
laplace,4.0,66,0.03845880681818182
laplace,4.0,67,0.0378964552238806
laplace,4.0,68,0.037293198529411764
laplace,4.0,69,0.03713088768115942
laplace,4.0,70,0.036573660714285715
laplace,4.0,71,0.03606294014084507
laplace,8.0,1,1.0
laplace,8.0,2,0.773125
laplace,8.0,3,0.6503645833333334
laplace,8.0,4,0.550234375
laplace,8.0,5,0.4911875
laplace,8.0,6,0.4413020833333333
laplace,8.0,7,0.4017857142857143
laplace,8.0,8,0.3709375
laplace,8.0,9,0.34074652777777775
laplace,8.0,10,0.3169375
laplace,8.0,11,0.2990056818181818
laplace,8.0,12,0.2784765625
