mechanism,eps,n_users,accuracy
laplace,inf,12,0.9808984375
laplace,inf,13,0.9793389423076924
laplace,inf,14,0.97546875
laplace,inf,15,0.9734166666666667
laplace,inf,16,0.974326171875
laplace,inf,17,0.9726378676470588
laplace,inf,18,0.9693663194444444
laplace,inf,19,0.9735444078947368
laplace,inf,20,0.9695703125
laplace,inf,21,0.9682886904761905
laplace,inf,22,0.968671875
laplace,inf,23,0.9632540760869566
laplace,inf,24,0.9686653645833333
laplace,inf,25,0.96113125
laplace,inf,26,0.9619170673076923
laplace,inf,27,0.9626331018518518
laplace,inf,28,0.9569587053571429
laplace,inf,29,0.9594719827586207
laplace,inf,30,0.9538333333333333
laplace,inf,31,0.9575352822580645
laplace,inf,32,0.9553271484375
laplace,inf,33,0.9539867424242424
laplace,inf,34,0.9547012867647059
laplace,inf,35,0.9502991071428571
laplace,inf,36,0.9490928819444444
laplace,inf,37,0.952022804054054
laplace,inf,38,0.9495723684210526
laplace,inf,39,0.9477403846153846
laplace,inf,40,0.9465546875
laplace,inf,41,0.9476943597560976
laplace,inf,42,0.9440066964285714
laplace,inf,43,0.9435319767441861
laplace,inf,44,0.9460866477272727
laplace,inf,45,0.9415729166666666
laplace,inf,46,0.9425169836956522
laplace,inf,47,0.943720079787234
laplace,inf,48,0.9394010416666667
laplace,inf,49,0.9405389030612245
laplace,inf,50,0.939984375
laplace,inf,51,0.9369240196078431
laplace,inf,52,0.9402193509615384
laplace,inf,53,0.9380483490566037
laplace,inf,54,0.9357638888888888
laplace,inf,55,0.9338863636363637
laplace,inf,56,0.9348772321428571
laplace,inf,57,0.9337554824561404
laplace,inf,58,0.934275323275862
laplace,inf,59,0.9333103813559323
laplace,inf,60,0.9327864583333333
laplace,inf,61,0.9313242827868853
laplace,inf,62,0.930688004032258
laplace,inf,63,0.9296750992063492
laplace,inf,64,0.92882080078125
laplace,inf,65,0.9287211538461538
laplace,inf,66,0.9284209280303031
laplace,inf,67,0.9279430970149254
laplace,inf,68,0.9278331801470588
laplace,inf,69,0.9266508152173913
laplace,inf,70,0.9257834821428571
laplace,inf,71,0.9258362676056338
piecewise_sub,1.0,1,1.0
piecewise_sub,1.0,2,0.544296875
piecewise_sub,1.0,3,0.3746875
piecewise_sub,1.0,4,0.286171875
piecewise_sub,1.0,5,0.23075
piecewise_sub,1.0,6,0.19526041666666666
piecewise_sub,1.0,7,0.17058035714285713
piecewise_sub,1.0,8,0.1475390625
piecewise_sub,1.0,9,0.13295138888888888
piecewise_sub,1.0,10,0.12065625
piecewise_sub,1.0,11,0.10883522727272728
piecewise_sub,1.0,12,0.0994140625
piecewise_sub,1.0,13,0.09098557692307692
piecewise_sub,1.0,14,0.0846875
