attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,2,10,-48.906824434729764,4454.286695464509,0.6730311061988934
steps,laplace,2,11,-4.628072558884422,4268.48597824277,0.6579338599892735
steps,laplace,2,12,5.73425897625842,4058.7186498078772,0.6530667509096675
steps,laplace,2,13,39.0631910081762,3867.287241630333,0.6360625470433483
steps,laplace,2,14,29.068576528595663,3808.4109183267224,0.6275350180543058
steps,laplace,2,15,-39.21109251270781,3680.1182259056695,0.6192790120559117
steps,laplace,2,16,22.38526284660164,3486.121744469271,0.6020347494723406
steps,laplace,2,17,63.717376161604086,3404.591282231465,0.6072366571546156
steps,laplace,2,18,-23.075451722286374,3279.3221977388225,0.5852895190817797
steps,laplace,2,19,-54.336716352028816,3273.0013510091626,0.6077140396409741
steps,laplace,2,20,23.309454900319356,3159.350518890438,0.5783760167144255
steps,laplace,2,21,-2.53513825689311,3060.0073696759737,0.5751377760476294
steps,laplace,2,22,18.144645586627668,3035.752331881037,0.569111358151939
steps,laplace,2,23,4.521458535640117,2958.3415967982787,0.5548819370886846
steps,laplace,2,24,-13.780036687426236,2825.10657646477,0.5375768823389782
steps,laplace,2,25,5.790883252700862,2813.958694153734,0.5223221532100636
steps,laplace,2,26,15.52763638959214,2771.814289728548,0.5370536231896541
steps,laplace,2,27,-16.747708873645752,2738.281820443332,0.5411086674885439
steps,laplace,2,28,19.011861536296397,2692.9146016686586,0.5194926050921577
steps,laplace,2,29,-43.28124733253669,2639.148911219962,0.515568445044652
steps,laplace,2,30,-19.164640123734447,2606.3233124051476,0.5045443093565286
steps,laplace,2,31,70.67177258382806,2529.6728021544336,0.4911866190995451
steps,laplace,2,32,25.59432656395359,2527.81807773503,0.497558677734124
steps,laplace,2,33,41.69319118764701,2374.296701856494,0.4611624818679797
steps,laplace,2,34,29.729269089943354,2378.4731426127923,0.4832230194568916
steps,laplace,2,35,-1.1702304281887137,2385.0977920272408,0.47005998217077294
steps,laplace,2,36,13.60253449216088,2362.023717030868,0.48439228829986747
steps,laplace,2,37,-37.05584306523814,2292.552005150077,0.4698292476502616
steps,laplace,2,38,-0.10571633741870529,2261.8032372644466,0.46425976924481666
steps,laplace,2,39,4.244601695738172,2219.4840367484644,0.448428528967924
steps,laplace,2,40,44.03975764062118,2200.2350827783835,0.45540533202230604
steps,laplace,2,41,3.009539501160081,2167.098581448199,0.4520712085786681
steps,laplace,2,42,21.01897066080248,2173.8690507081155,0.43567903366085375
steps,laplace,2,43,-23.32448705783507,2143.376382843788,0.4359543771177772
steps,laplace,2,44,-7.017044933068336,2121.388450086402,0.43360464175750535
steps,laplace,2,45,11.368163775936791,2114.850621182206,0.42695984046120977
steps,laplace,2,46,-7.7762834791498365,2066.3136482664754,0.42610287482322645
steps,laplace,2,47,46.706044268082366,2063.5390840201703,0.4162552409733684
steps,laplace,2,48,-11.527754438393025,2029.0564945785698,0.4195248219721488
steps,laplace,2,49,-3.7176130534931473,2017.001715146231,0.4125513623760664
steps,laplace,2,50,-10.822254929071246,1988.65240949081,0.4136663297024882
steps,laplace,2,51,21.240707334312717,1983.7187915043096,0.4077380298017252
steps,laplace,2,52,60.847363277594795,1966.652139371912,0.40719702018003645
steps,laplace,2,53,16.150416508794915,1952.4043886115087,0.4040332341486297
steps,laplace,2,54,-23.500128830242716,1911.4310013328118,0.3887938232058313
steps,laplace,2,55,-32.89094062325187,1900.5704158085284,0.3910514609320898
steps,laplace,2,56,-25.253463176326314,1882.345590417082,0.38611901740911947
steps,laplace,2,57,19.629513838733295,1868.0552026209075,0.3889919818599546
steps,laplace,2,58,15.36853737723928,1823.5552305356441,0.3774500750926434
steps,laplace,2,59,-26.827274107688513,1828.7097564158391,0.3805772108108381
