attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,1,28,4.627564252676629,5.296869228424133,0.49880201704400645
steps,laplace,1,29,4.799961434068731,5.475626744851241,0.5029109319316798
steps,laplace,1,30,4.877032094526331,5.556455279995809,0.5068833484596005
steps,laplace,1,31,5.103092119400493,5.781593417931901,0.5083351135523931
steps,laplace,1,32,5.221342540102909,5.913392430130479,0.5098783639919978
steps,laplace,1,33,5.482616943087614,6.171685218497896,0.5199552543671664
steps,laplace,1,34,5.596442185714728,6.283676471239186,0.5205043293917317
steps,laplace,1,35,5.779136598670575,6.470369220700817,0.5261480339296887
steps,laplace,1,36,5.893606707222397,6.591779333343657,0.5286702082170541
steps,laplace,1,37,6.168946102378004,6.871357980103599,0.5361462279318807
steps,laplace,1,38,6.304875791709079,7.005350355875598,0.5399857305405787
steps,laplace,1,39,6.4013547706655425,7.106656674778341,0.54167055390944
steps,laplace,1,40,6.6048607989890495,7.318935347318602,0.545679652135352
steps,laplace,1,41,6.768445485482112,7.488444178360158,0.5502161363218243
steps,laplace,1,42,6.939283362123737,7.658412012556373,0.550178813673783
steps,laplace,1,43,7.045603981125589,7.777428813891324,0.5503739514161893
steps,laplace,1,44,7.241699272064256,7.976921510372633,0.5542848987912959
steps,laplace,1,45,7.412162004012116,8.151236458210912,0.559901366215274
steps,laplace,1,46,7.595075358510695,8.3277862641518,0.5652679351703007
steps,laplace,1,47,7.726115607982336,8.467628675563185,0.5669371999419809
steps,laplace,1,48,7.903940756506217,8.653618055053993,0.5656654798980496
steps,laplace,1,49,8.08931824902714,8.834164868249065,0.5746922565704233
steps,laplace,1,50,8.21457167639216,8.971519480098795,0.5711903145548765
steps,laplace,1,51,8.422339925130018,9.179335343514934,0.5738922993432082
steps,laplace,1,52,8.605181542636075,9.363287029477071,0.5817478334381355
steps,laplace,1,53,8.748223724819967,9.513525239948518,0.5821386213602291
steps,laplace,1,54,8.932144040725456,9.703804444563474,0.582923765039964
steps,laplace,1,55,9.102083890793445,9.875941178772907,0.5904929711019272
steps,laplace,1,56,9.239470178847176,10.017196329919283,0.5898310857631015
steps,laplace,1,57,9.430281278017143,10.210465873026427,0.592200841982612
steps,laplace,1,58,9.484789911464654,10.274265121792439,0.593199145745933
steps,laplace,1,59,9.759073497526904,10.549460217782833,0.5968732763447285
steps,laplace,1,60,9.851921064207325,10.653980499163568,0.5988813377583749
steps,laplace,1,61,10.078259833635448,10.87975404829781,0.6026686924120847
steps,laplace,1,62,10.220456885858319,11.020294093955863,0.6054058030620247
steps,laplace,1,63,10.397335303097515,11.20501952548634,0.6081630297320871
steps,laplace,1,64,10.5499208179329,11.35751765381507,0.6110379176570331
steps,laplace,1,65,10.703605276604998,11.516912666322595,0.6094057794172925
steps,laplace,1,66,10.880597790516521,11.700751991493856,0.6099799400145479
steps,laplace,1,67,11.017900511536686,11.841540890436129,0.6153455397306731
steps,laplace,1,68,11.180539285010143,12.00861861718343,0.6169942370903571
steps,laplace,1,69,11.371056047001384,12.196272592764842,0.6186709412388364
steps,laplace,1,70,11.542294585728822,12.380115209803142,0.6238009657360626
steps,laplace,1,71,11.725116871719745,12.557092950286027,0.6278546475143013
steps,laplace,2,1,0.13537243528057946,0.4740787346056263,inf
steps,laplace,2,2,0.27514092010504454,0.6938849030546944,inf
steps,laplace,2,3,0.4454210344097613,0.8913700114838162,0.40996336876925493
steps,laplace,2,4,0.5478432679592184,1.0455020744033654,0.37686754510350856
steps,laplace,2,5,0.7032692804213563,1.2246602581278756,0.37165845656427393
steps,laplace,2,6,0.8530125755690585,1.3778626301324688,0.36207577270438696
steps,laplace,2,7,0.9324471791480562,1.503993061487191,0.3563792727854127
steps,laplace,2,8,1.1260657316206748,1.6800737950896663,0.361447899733183
steps,laplace,2,9,1.2545810272530953,1.8195371966423664,0.359286267108327
steps,laplace,2,10,1.4183196958177504,1.985080658475675,0.37104846679910497
steps,laplace,2,11,1.5438194029257233,2.1277970744743993,0.3712017358575823
steps,laplace,2,12,1.7090863736831343,2.2858502903572853,0.37510292470301276
steps,laplace,2,13,1.802273891198751,2.3981906068767866,0.37676421643008756
steps,laplace,2,14,1.9862556557419777,2.58154967812129,0.380912631304391
steps,laplace,2,15,2.1234071498959084,2.7199376710419756,0.3841494864254031
steps,laplace,2,16,2.2391638282008643,2.850476959794665,0.3872359963418859
steps,laplace,2,17,2.4131051959692718,3.0187575664096977,0.39656406713001996
steps,laplace,2,18,2.5529762543395345,3.1616230322915344,0.39928780290354815
steps,laplace,2,19,2.6812711382698082,3.2990211462602517,0.40113033904743345
steps,laplace,2,20,2.8265183017260016,3.449528058208371,0.4040500154206361
steps,laplace,2,21,2.91592157054093,3.545866431515358,0.4075330065034612
steps,laplace,2,22,3.0865348883586994,3.714691952171229,0.4104407053395834
steps,laplace,2,23,3.206574453709923,3.849235520892743,0.41231114269420294
steps,laplace,2,24,3.4184003911415566,4.050979251969545,0.4226058603601449
steps,laplace,2,25,3.5286826762143835,4.172803716501414,0.4209063197131699
