attribute,mechanism,eps,n_users,p_rate,tp,fn,fp,tn,accuracy,precision,recall,specificity,balanced_accuracy,t_agree_rate
steps,piecewise_sub,16,40,0.774,773,1,0,226,0.999,1.0,0.9987080103359173,1.0,0.999,1.0
steps,piecewise_sub,16,42,0.757,756,1,0,243,0.999,1.0,0.9986789960369881,1.0,0.999,1.0
steps,piecewise_sub,16,44,0.757,756,1,0,243,0.999,1.0,0.9986789960369881,1.0,0.999,1.0
steps,piecewise_sub,16,46,0.766,766,0,0,234,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,48,0.755,755,0,0,245,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,50,0.74,740,0,0,260,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,52,0.762,761,1,0,238,0.999,1.0,0.9986876640419947,1.0,0.999,1.0
steps,piecewise_sub,16,54,0.725,725,0,0,275,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,56,0.742,742,0,0,258,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,58,0.735,734,1,0,265,0.999,1.0,0.998639455782313,1.0,0.999,1.0
steps,piecewise_sub,16,60,0.723,723,0,1,276,0.999,0.9986187845303868,1.0,0.9963898916967509,0.999,1.0
steps,piecewise_sub,16,62,0.715,715,0,1,284,0.999,0.9986033519553073,1.0,0.9964912280701754,0.999,1.0
steps,piecewise_sub,16,64,0.752,752,0,0,248,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,16,66,0.728,727,1,0,272,0.999,1.0,0.9986263736263736,1.0,0.999,1.0
steps,piecewise_sub,16,68,0.712,712,0,1,287,0.999,0.9985974754558204,1.0,0.9965277777777778,0.999,1.0
steps,piecewise_sub,16,70,0.71,709,1,1,289,0.998,0.9985915492957746,0.9985915492957746,0.996551724137931,0.998,1.0
steps,piecewise_sub,32,2,0.708,708,0,0,292,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,4,0.791,791,0,0,209,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,6,0.783,783,0,0,217,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,8,0.795,795,0,0,205,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,10,0.791,791,0,0,209,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,12,0.802,802,0,0,198,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,14,0.767,767,0,0,233,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,16,0.764,764,0,0,236,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,18,0.755,755,0,0,245,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,20,0.744,744,0,0,256,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,22,0.77,770,0,0,230,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,24,0.756,756,0,0,244,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,26,0.752,752,0,0,248,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,28,0.764,764,0,0,236,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,30,0.769,769,0,0,231,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,32,0.762,762,0,0,238,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,34,0.773,773,0,0,227,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,36,0.751,751,0,0,249,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,38,0.773,773,0,0,227,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,40,0.759,759,0,0,241,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,42,0.728,728,0,0,272,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,44,0.731,731,0,0,269,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,46,0.75,750,0,0,250,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,48,0.753,753,0,0,247,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,50,0.776,776,0,0,224,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,52,0.765,765,0,0,235,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,54,0.728,728,0,0,272,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,56,0.726,726,0,0,274,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,58,0.732,732,0,0,268,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,60,0.741,741,0,0,259,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,62,0.746,746,0,0,254,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,64,0.764,764,0,0,236,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,66,0.718,718,0,0,282,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,68,0.727,727,0,0,273,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,32,70,0.713,713,0,0,287,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,2,0.721,721,0,0,279,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,4,0.768,768,0,0,232,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,6,0.77,770,0,0,230,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,8,0.781,781,0,0,219,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,10,0.766,766,0,0,234,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,12,0.779,779,0,0,221,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,14,0.774,774,0,0,226,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,16,0.792,792,0,0,208,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,18,0.778,778,0,0,222,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,20,0.746,746,0,0,254,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,22,0.761,761,0,0,239,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,24,0.759,759,0,0,241,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,26,0.756,756,0,0,244,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,28,0.75,750,0,0,250,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,30,0.785,785,0,0,215,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,32,0.757,757,0,0,243,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,34,0.729,729,0,0,271,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,36,0.772,772,0,0,228,1.0,1.0,1.0,1.0,1.0,1.0
