mechanism,eps,n_users,max_recall
laplace,4.0,41,0.05544985050285404
laplace,4.0,42,0.051788841631223416
laplace,4.0,43,0.049872122762148335
laplace,4.0,44,0.04923599320882852
laplace,4.0,45,0.04967385850476668
laplace,4.0,46,0.047497446373850866
laplace,4.0,47,0.04749545808460939
laplace,4.0,48,0.04617169373549884
laplace,4.0,49,0.04422488826158551
laplace,4.0,50,0.046405228758169936
laplace,4.0,51,0.044352195761415775
laplace,4.0,52,0.04298356510745891
laplace,4.0,53,0.041757285776424534
laplace,4.0,54,0.04086444007858546
laplace,4.0,55,0.03929568391668456
laplace,4.0,56,0.03979081400636653
laplace,4.0,57,0.03723171265878231
laplace,4.0,58,0.03873716831299632
laplace,4.0,59,0.03599683544303797
laplace,4.0,60,0.03969171483622351
laplace,4.0,61,0.03605477552435431
laplace,4.0,62,0.036119903183764665
laplace,4.0,63,0.03790294013460857
laplace,4.0,64,0.03564461784004256
laplace,4.0,65,0.034557626198661116
laplace,4.0,66,0.03361344537815126
laplace,4.0,67,0.032877199218055805
laplace,4.0,68,0.03188815582783538
laplace,4.0,69,0.0334841628959276
laplace,4.0,70,0.03126012309685779
laplace,4.0,71,0.03096400244051251
laplace,8.0,1,1.0
laplace,8.0,2,0.8709677419354839
laplace,8.0,3,0.6852589641434262
laplace,8.0,4,0.5714285714285714
laplace,8.0,5,0.4962686567164179
laplace,8.0,6,0.45706371191135736
laplace,8.0,7,0.36538461538461536
laplace,8.0,8,0.35319148936170214
laplace,8.0,9,0.4048165137614679
laplace,8.0,10,0.3141891891891892
laplace,8.0,11,0.27593582887700535
laplace,8.0,12,0.26479750778816197
laplace,8.0,13,0.236816874400767
laplace,8.0,14,0.2149866190900981
laplace,8.0,15,0.20796156485929992
laplace,8.0,16,0.19902912621359223
laplace,8.0,17,0.18304576144036008
laplace,8.0,18,0.19085262563523434
laplace,8.0,19,0.17730020147750167
laplace,8.0,20,0.16121629374641422
laplace,8.0,21,0.156203288490284
laplace,8.0,22,0.14763779527559054
laplace,8.0,23,0.14291292463881297
laplace,8.0,24,0.14404267931238884
laplace,8.0,25,0.13656605640771896
laplace,8.0,26,0.1327818894209839
laplace,8.0,27,0.12917827298050139
laplace,8.0,28,0.121300339640951
laplace,8.0,29,0.11766917293233083
laplace,8.0,30,0.13038674033149172
laplace,8.0,31,0.10710216483099126
laplace,8.0,32,0.11106671993607671
laplace,8.0,33,0.11303960836671118
laplace,8.0,34,0.1032258064516129
laplace,8.0,35,0.10063559322033898
laplace,8.0,36,0.1081386586284853
laplace,8.0,37,0.10014306151645208
laplace,8.0,38,0.09706411024565609
laplace,8.0,39,0.08967223252937538
laplace,8.0,40,0.09188095926032938
