mechanism,eps,n_users,accuracy
laplace,2.0,20,0.062328125
laplace,2.0,21,0.05808035714285714
laplace,2.0,22,0.05583806818181818
laplace,2.0,23,0.0535054347826087
laplace,2.0,24,0.05151041666666667
laplace,2.0,25,0.04939375
laplace,2.0,26,0.04739783653846154
laplace,2.0,27,0.04618634259259259
laplace,2.0,28,0.04467633928571429
laplace,2.0,29,0.04318965517241379
laplace,2.0,30,0.041041666666666664
laplace,2.0,31,0.03993951612903226
laplace,2.0,32,0.0390869140625
laplace,2.0,33,0.037637310606060605
laplace,2.0,34,0.03715533088235294
laplace,2.0,35,0.03540178571428571
laplace,2.0,36,0.034691840277777775
laplace,2.0,37,0.03350506756756757
laplace,2.0,38,0.032923519736842106
laplace,2.0,39,0.03204727564102564
laplace,2.0,40,0.03136328125
laplace,2.0,41,0.03032012195121951
laplace,2.0,42,0.029598214285714287
laplace,2.0,43,0.02918968023255814
laplace,2.0,44,0.028462357954545454
laplace,2.0,45,0.027840277777777776
laplace,2.0,46,0.02716711956521739
laplace,2.0,47,0.026419547872340427
laplace,2.0,48,0.02631184895833333
laplace,2.0,49,0.025385841836734695
laplace,2.0,50,0.025275
laplace,2.0,51,0.024911151960784313
laplace,2.0,52,0.02402043269230769
laplace,2.0,53,0.024159787735849057
laplace,2.0,54,0.02310474537037037
laplace,2.0,55,0.022818181818181817
laplace,2.0,56,0.02212332589285714
laplace,2.0,57,0.02193530701754386
laplace,2.0,58,0.021880387931034483
laplace,2.0,59,0.02126853813559322
laplace,2.0,60,0.021270833333333333
laplace,2.0,61,0.020863217213114755
laplace,2.0,62,0.020367943548387096
laplace,2.0,63,0.020076884920634922
laplace,2.0,64,0.01974365234375
laplace,2.0,65,0.019384615384615386
laplace,2.0,66,0.019036458333333332
laplace,2.0,67,0.019064832089552237
laplace,2.0,68,0.018584558823529412
laplace,2.0,69,0.01813179347826087
laplace,2.0,70,0.017950892857142856
laplace,2.0,71,0.017962147887323945
laplace,4.0,1,1.0
laplace,4.0,2,0.56078125
laplace,4.0,3,0.39875
laplace,4.0,4,0.3166796875
laplace,4.0,5,0.26478125
laplace,4.0,6,0.22346354166666665
laplace,4.0,7,0.1963169642857143
laplace,4.0,8,0.1708203125
laplace,4.0,9,0.15404513888888888
laplace,4.0,10,0.14328125
laplace,4.0,11,0.13008522727272728
laplace,4.0,12,0.12075520833333334
laplace,4.0,13,0.11133413461538462
laplace,4.0,14,0.10366071428571429
laplace,4.0,15,0.09792708333333333
laplace,4.0,16,0.09224609375
laplace,4.0,17,0.0875827205882353
laplace,4.0,18,0.08316840277777778
laplace,4.0,19,0.07818256578947369
laplace,4.0,20,0.0748671875
laplace,4.0,21,0.07180059523809523
laplace,4.0,22,0.06891335227272727
laplace,4.0,23,0.06603940217391305
laplace,4.0,24,0.06345052083333333
laplace,4.0,25,0.06226875
laplace,4.0,26,0.058756009615384616
laplace,4.0,27,0.0574537037037037
laplace,4.0,28,0.054871651785714286
laplace,4.0,29,0.052984913793103446
laplace,4.0,30,0.05175520833333333
laplace,4.0,31,0.05001008064516129
laplace,4.0,32,0.0480859375
laplace,4.0,33,0.046680871212121215
laplace,4.0,34,0.04604779411764706
laplace,4.0,35,0.044066964285714286
